genomes,primary_dbxref,displayname,uniquename,stx1_subtype,stx2_subtype,isolation_host,strain,serotype,isolation_date,isolation_source,syndrome,isolation_location
public_2739076,genbank: AQEZ00000000.1,MP020940.1,MP020940.1,undefined,undefined,Homo sapiens (human),MP020940.1,undefined,undefined,Stool,undefined,Bangladesh
public_2731060,genbank: AQCR00000000.1,MP021017.4,MP021017.4,undefined,undefined,Homo sapiens (human),MP021017.4,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2875553,genbank: JORE00000000.1,6-319-05_S1_C3,6-319-05_S1_C3,undefined,undefined,Homo sapiens (human),6-319-05_S1_C3,undefined,2009-01-15,Stool,undefined,Tanzania
public_2569750,genbank: AEUC00000000.1,O157:H7 Str. LSU-61,O157:H7 Str. LSU-61,undefined,undefined,undefined,LSU-61,O157:H7,2001-01-01,undefined,undefined,undefined
public_2588986,genbank: AIAN00000000.1,C238_91,C238_91,undefined,undefined,Homo sapiens (human),C238_91,undefined,undefined,Stool,undefined,Denmark
public_2741722,genbank: ASRW00000000.1,E2265,E2265,undefined,undefined,Homo sapiens (human),E2265,undefined,2006-03-01,Stool,undefined,"Dhaka, Bangladesh"
public_2807562,genbank: JHIJ00000000.1,O121:H19 Str. K5269,O121:H19 Str. K5269,undefined,2a,undefined,K5269,O121:H19,undefined,undefined,undefined,United States
public_2847185,genbank: JMVD00000000.1,BIDMC 71,BIDMC 71,undefined,undefined,Homo sapiens (human),BIDMC 71,undefined,2013-01-01,Urine,undefined,"Boston, MA, USA"
public_2786591,genbank: JASU00000000.1,O128:H2 Str. 2011C-3317,O128:H2 Str. 2011C-3317,1c,undefined,Homo sapiens (human),2011C-3317,O128:H2,undefined,undefined,undefined,United States
public_2851175,genbank: JNMS00000000.1,3-373-03_S4_C2,3-373-03_S4_C2,undefined,undefined,Homo sapiens (human),3-373-03_S4_C2,undefined,2009-07-08,Stool,undefined,Tanzania
public_2773558,genbank: CAPL00000000.1,O5:K4(L):H4 Str. ATCC 23502,O5:K4(L):H4 Str. ATCC 23502,undefined,undefined,undefined,ATCC:23502,O5:K4(L):H4,undefined,Blood,undefined,undefined
public_2686502,genbank: AOEA00000000.1,99.0816,99.0816,undefined,2a,Homo sapiens (human),99.0816,O157:H7,1999-01-01,undefined,undefined,Argentina
public_2832501,genbank: JHNR00000000.1,O121:H19 Str. 06-3003,O121:H19 Str. 06-3003,undefined,2a,undefined,06-3003,O121:H19,undefined,undefined,undefined,United States
public_2636097,genbank: AKMD00000000.1,TW14313,TW14313,undefined,2a,Homo sapiens (human),TW14313,O157:H7,2006-01-01,undefined,undefined,United States
public_2809650,genbank: JHJA00000000.1,O157:H7 Str. K1796,O157:H7 Str. K1796,1a,2a,undefined,K1796,O157:H7,undefined,undefined,undefined,United States
public_2623436,genbank: AKLB00000000.1,93-001,93-001,1a,2a,Bos taurus (cow),93-001,O157:H7,1991-01-01,undefined,undefined,United States
public_2712147,genbank: APYQ00000000.1,P0299917.7,P0299917.7,undefined,undefined,Homo sapiens (human),P0299917.7,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2586064,genbank: AIAE00000000.1,C12_92,C12_92,undefined,undefined,Homo sapiens (human),C12_92,undefined,undefined,Stool,undefined,United Kingdom
public_2834569,genbank: JHOB00000000.1,O113:H21 Str. 07-4224,O113:H21 Str. 07-4224,undefined,undefined,undefined,07-4224,O113:H21,undefined,undefined,undefined,United States
public_2878192,genbank: JORV00000000.1,7-233-03_S3_C3,7-233-03_S3_C3,undefined,undefined,Homo sapiens (human),7-233-03_S3_C3,undefined,2009-04-28,Stool,undefined,Tanzania
public_2877605,genbank: JORR00000000.1,2-222-05_S4_C1,2-222-05_S4_C1,undefined,undefined,Homo sapiens (human),2-222-05_S4_C1,undefined,2009-07-15,Stool,undefined,Tanzania
public_2783199,genbank: CCQU00000000.1,26 Str. E. coli (2783199),26 Str. E. coli (2783199),1a,undefined,Homo sapiens (human),29755,26,2010-07-15,Stool,undefined,Norway
public_2738653,genbank: AQEQ00000000.1,P0301867.1,P0301867.1,undefined,undefined,Homo sapiens (human),P0301867.1,undefined,undefined,Stool,undefined,Bangladesh
public_2614553,genbank: AJWQ00000000.1,541-15,541-15,undefined,undefined,Homo sapiens (human),541-15,undefined,2006-01-01,Ileum,undefined,United States
public_2871736,genbank: JOND00000000.1,3-267-03_S4_C1,3-267-03_S4_C1,undefined,undefined,Homo sapiens (human),3-267-03_S4_C1,undefined,2009-07-08,Stool,undefined,Tanzania
public_2818378,genbank: JHKY00000000.1,O157:H7 Str. 08-3527,O157:H7 Str. 08-3527,1a,2a,undefined,08-3527,O157:H7,undefined,undefined,undefined,United States
public_2860241,genbank: JNPZ00000000.1,2-177-06_S4_C3,2-177-06_S4_C3,undefined,undefined,Homo sapiens (human),2-177-06_S4_C3,undefined,2009-07-16,Stool,undefined,Tanzania
public_2732973,genbank: AQDB00000000.1,2875000,2875000,undefined,undefined,Homo sapiens (human),2875000,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2782698,genbank: CCQS00000000.1,26 Str. E. coli (2782698),26 Str. E. coli (2782698),1a,undefined,Homo sapiens (human),29755,26,2010-07-10,Stool,undefined,Norway
public_2570804,genbank: AEZW00000000.2,96.154,96.154,undefined,2a,Homo sapiens (human),96.154,undefined,undefined,undefined,undefined,undefined
public_2806817,genbank: JHIB00000000.1,O157:H7 Str. K5607,O157:H7 Str. K5607,undefined,2a,undefined,K5607,O157:H7,undefined,undefined,undefined,United States
public_2872385,genbank: JOQD00000000.1,3-475-03_S3_C1,3-475-03_S3_C1,undefined,undefined,Homo sapiens (human),3-475-03_S3_C1,undefined,2009-04-16,Stool,undefined,Tanzania
public_2571289,genbank: AFAG00000000.2,TW07793,TW07793,undefined,undefined,Environmental source,TW07793,undefined,undefined,Water,undefined,undefined
public_2770175,genbank: AZJO00000000.1,UMEA 3489-1,UMEA 3489-1,undefined,undefined,Homo sapiens (human),UMEA 3489-1,undefined,1996-01-01,Urine,Urinary tract infection (cystitis),Sweden
public_2609188,genbank: AIHQ00000000.1,DEC15C,DEC15C,undefined,undefined,Homo sapiens (human),DEC15C,O111:H21,1977-01-01,undefined,undefined,"California, USA"
public_2570378,genbank: AEZQ00000000.2,96.0497,96.0497,undefined,multiple,Homo sapiens (human),96.0497,undefined,undefined,undefined,undefined,undefined
public_2846892,genbank: JMST00000000.1,DSM 30083 = JCM 1649 = ATCC 11775 (2846892),DSM 30083 = JCM 1649 = ATCC 11775 (2846892),undefined,undefined,Homo sapiens (human),ATCC:11775,undefined,undefined,Urine,undefined,undefined
public_2570808,genbank: AEZY00000000.1,9.1649,9.1649,undefined,undefined,Sus scrofa (pig),9.1649,undefined,undefined,undefined,undefined,undefined
public_2571280,genbank: AFAF00000000.2,3003,3003,undefined,undefined,Environmental source,3003,undefined,undefined,Water,undefined,undefined
public_2710227,genbank: APYG00000000.1,P0299438.7,P0299438.7,undefined,undefined,Homo sapiens (human),P0299438.7,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2784698,genbank: CCRB00000000.1,26 Str. E. coli (2784698),26 Str. E. coli (2784698),1a,undefined,Homo sapiens (human),29755,26,2009-09-03,Stool,undefined,Norway
public_2567961,genbank: ADWR00000000.1,MS 79-10,MS 79-10,undefined,undefined,Homo sapiens (human),MS 79-10,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2725314,genbank: AQBF00000000.1,P0304816.8,P0304816.8,undefined,undefined,Homo sapiens (human),P0304816.8,undefined,undefined,Stool,undefined,Bangladesh
public_2735581,genbank: AQDT00000000.1,2788150,2788150,undefined,undefined,Homo sapiens (human),2788150,undefined,2007-01-01,Stool,undefined,Bangladesh
public_2683023,genbank: ANUT00000000.1,KTE83,KTE83,undefined,undefined,Homo sapiens (human),KTE83,undefined,2009-01-01,undefined,undefined,Denmark
public_2805542,genbank: JHHS00000000.1,O111:NM Str. K6728,O111:NM Str. K6728,1a,2a,undefined,K6728,O111:NM,undefined,undefined,undefined,United States
public_2757863,genbank: AXTH00000000.1,907710,907710,undefined,undefined,Homo sapiens (human),907710,undefined,undefined,undefined,undefined,undefined
public_2558726,genbank: ADTZ00000000.1,MS 116-1,MS 116-1,undefined,undefined,Homo sapiens (human),MS 116-1,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2572715,genbank: AFRO00000000.1,O104:H4 Str. H112180541,O104:H4 Str. H112180541,undefined,2a,Homo sapiens (human),H112180541,O104:H4,2011-05-01,Stool,Hemolytic-uremic syndrome,United Kingdom
public_2741306,genbank: ASHB00000000.1,O157 Str. NCCP15738,O157 Str. NCCP15738,undefined,undefined,Homo sapiens (human),NCCP:15738,O157,undefined,undefined,undefined,South Korea
public_2800758,genbank: JHGU00000000.1,O111:NM Str. 2009C-4006,O111:NM Str. 2009C-4006,1a,2a,undefined,2009C-4006,O111:NM,undefined,undefined,undefined,United States
public_2570975,genbank: AFAB00000000.2,2.3916,2.3916,undefined,undefined,Sus scrofa (pig),2.3916,undefined,undefined,undefined,undefined,undefined
public_2583215,genbank: AHHL00000000.1,ECA-727,ECA-727,undefined,undefined,Bos taurus (cow),ECA-727,undefined,undefined,transient mastitis,Mastitis,"New York, NY, USA"
public_2786494,genbank: JASO00000000.1,O145:H25 Str. 07-3858,O145:H25 Str. 07-3858,undefined,2d,Homo sapiens (human),07-3858,O145:H25,undefined,undefined,undefined,United States
public_2865132,genbank: JNRD00000000.1,2-460-02_S3_C3,2-460-02_S3_C3,undefined,undefined,Homo sapiens (human),2-460-02_S3_C3,undefined,2009-04-23,Stool,undefined,Tanzania
public_2683590,genbank: ANVD00000000.1,KTE161,KTE161,undefined,undefined,Homo sapiens (human),KTE161,undefined,2010-01-01,undefined,undefined,Denmark
public_2579408,genbank: AGTD00000000.1,UMNF18,UMNF18,undefined,undefined,Sus scrofa (pig),UMNF18,undefined,2007-01-01,lesion swab of diarrheal isolate,Diarrhea,United States
public_2780694,genbank: CCQG00000000.1,26 Str. E. coli (2780694),26 Str. E. coli (2780694),undefined,undefined,Homo sapiens (human),E. coli,26,2006-03-14,Stool,undefined,Norway
public_2838870,genbank: JJLT00000000.1,1-182-04_S3_C2,1-182-04_S3_C2,undefined,undefined,Homo sapiens (human),1-182-04_S3_C2,undefined,2009-04-11,Stool,undefined,Tanzania
public_2841285,genbank: JJNV00000000.1,O25b-ST131,O25b-ST131,undefined,undefined,undefined,O25b-ST131,undefined,2014-01-08,environment,undefined,"Curry County, OR, USA"
public_2770141,genbank: AZJM00000000.1,HVH 177 (4-2876612),HVH 177 (4-2876612),undefined,undefined,Homo sapiens (human),HVH 177 (4-2876612),undefined,2003-01-01,Blood,Urinary tract infection (cystitis),Denmark
public_2836261,genbank: JICG00000000.1,S7005,S7005,undefined,undefined,Homo sapiens (human),S7005,undefined,undefined,Stool,undefined,Kenya
public_2622806,genbank: AKLA00000000.1,FRIK1990,FRIK1990,1a,2c,Bos taurus (cow),FRIK1990,O157:H7,1991-01-01,undefined,undefined,United States
public_2698602,genbank: AOQZ00000000.1,TOP2662-4,TOP2662-4,undefined,undefined,Homo sapiens (human),TOP2662-4,undefined,2005-04-27,Stool,undefined,"Seattle, WA, USA"
public_2754225,genbank: AVSL00000000.1,B89,B89,undefined,2a,Homo sapiens (human),B89,O157:H7,2003-01-01,undefined,undefined,"Washington, DC, USA"
public_2753696,genbank: AVSH00000000.1,B83,B83,1a,2a,Homo sapiens (human),B83,O157:H7,2002-01-01,undefined,undefined,"Washington, DC, USA"
public_2585758,genbank: AIAD00000000.1,C1244_91,C1244_91,undefined,undefined,Homo sapiens (human),C1244_91,undefined,undefined,Stool,undefined,United Kingdom
public_2571298,genbank: AFAH00000000.2,B41,B41,undefined,undefined,Sus scrofa (pig),B41,undefined,1980-01-01,undefined,undefined,United States
public_2754363,genbank: AVSM00000000.1,B90,B90,undefined,2a,Homo sapiens (human),B90,O157:H7,2003-01-01,undefined,undefined,"Washington, DC, USA"
public_2721417,genbank: AQAL00000000.1,P0304777.15,P0304777.15,undefined,undefined,Homo sapiens (human),P0304777.15,undefined,undefined,undefined,undefined,Bangladesh
public_2570392,genbank: AEZR00000000.2,99.0741,99.0741,multiple,undefined,Bos taurus (cow),99.0741,undefined,undefined,undefined,undefined,undefined
public_2603809,genbank: AICG00000000.1,OK1114,OK1114,1a,2a,Homo sapiens (human),OK1114,undefined,undefined,Stool,undefined,United States
public_2747621,genbank: ATOE00000000.1,112469218-isolate1,112469218-isolate1,undefined,undefined,Homo sapiens (human),112469218-isolate1,undefined,undefined,Stool,Bacteremia,"Missouri, USA"
public_2819286,genbank: JHLD00000000.1,O157:H7 Str. 2011EL-2096,O157:H7 Str. 2011EL-2096,undefined,2a,undefined,2011EL-2096,O157:H7,undefined,undefined,undefined,United States
public_2745245,genbank: ATNV00000000.1,MC6003,MC6003,undefined,undefined,Homo sapiens (human),MC6003,undefined,undefined,Blood,Bacteremia,"Missouri, USA"
public_2584750,genbank: AHHN00000000.1,ECC-Z,ECC-Z,undefined,undefined,Bos taurus (cow),ECC-Z,undefined,undefined,persistent mastitis,Mastitis,"New York, NY, USA"
public_2750274,genbank: AVRG00000000.1,B95,B95,undefined,2a,Homo sapiens (human),B95,O157:H7,2005-01-01,undefined,undefined,"Missouri, USA"
public_2812585,genbank: JHJS00000000.1,O111:H8 Str. F6627,O111:H8 Str. F6627,1a,undefined,undefined,F6627,O111:H8,undefined,undefined,undefined,United States
public_2850300,genbank: JNMM00000000.1,3-267-03_S3_C2,3-267-03_S3_C2,undefined,undefined,Homo sapiens (human),3-267-03_S3_C2,undefined,2009-04-16,Stool,undefined,Tanzania
public_2682579,genbank: ANUK00000000.1,KTE62,KTE62,undefined,undefined,Homo sapiens (human),KTE62,undefined,2010-01-01,undefined,undefined,Denmark
public_2689379,genbank: AOEQ00000000.1,99.1781,99.1781,1a,2a,Homo sapiens (human),99.1781,O157:H7,1999-01-01,undefined,undefined,United States
public_2605786,genbank: AIFT00000000.1,DEC5D,DEC5D,undefined,undefined,Homo sapiens (human),DEC5D,O55:H7,1965-01-01,undefined,undefined,Sri Lanka
public_2750049,genbank: AVRB00000000.1,B36-2,B36-2,undefined,2a,Homo sapiens (human),B36-2,O157:H7,2001-01-01,undefined,undefined,"Washington, DC, USA"
public_2736582,genbank: AQDZ00000000.1,2749250,2749250,undefined,undefined,Homo sapiens (human),2749250,undefined,2007-01-01,Stool,undefined,Bangladesh
public_2644819,genbank: AMTI00000000.1,8.0586,8.0586,1a,2a,Homo sapiens (human),8.0586,O157:H7,2008-01-01,undefined,undefined,United States
public_2794974,genbank: JHFN00000000.1,O145:NM Str. 2010C-3526,O145:NM Str. 2010C-3526,undefined,2a,undefined,2010C-3526,O145:NM,undefined,undefined,undefined,United States
public_2595892,genbank: AIBI00000000.1,C652_10,C652_10,undefined,undefined,Homo sapiens (human),C652_10,undefined,undefined,Stool,undefined,Denmark
public_2838049,genbank: JJLP00000000.1,1-182-04_S4_C1,1-182-04_S4_C1,undefined,undefined,Homo sapiens (human),1-182-04_S4_C1,undefined,2009-07-04,Stool,undefined,Tanzania
public_2659537,genbank: AMUT00000000.1,EC1737,EC1737,undefined,2a,Homo sapiens (human),EC1737,O157:H7,2009-01-01,undefined,undefined,United States
public_2682880,genbank: ANUQ00000000.1,KTE77,KTE77,undefined,undefined,Homo sapiens (human),KTE77,undefined,2010-01-01,undefined,undefined,Denmark
public_2718441,genbank: APZU00000000.1,P0301867.2,P0301867.2,undefined,undefined,Homo sapiens (human),P0301867.2,undefined,2011-03-01,undefined,undefined,Bangladesh
public_2812201,genbank: JHJQ00000000.1,O157:H7 Str. F6749,O157:H7 Str. F6749,1a,2a,undefined,F6749,O157:H7,undefined,undefined,undefined,United States
public_2706722,genbank: APXP00000000.1,MP021561.3,MP021561.3,undefined,undefined,Homo sapiens (human),MP021561.3,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2765395,genbank: AYLY00000000.1,LAU-EC2,LAU-EC2,undefined,undefined,undefined,LAU-EC2,undefined,2013-01-01,Genitourinary,undefined,"Byblos, Lebanon"
public_2881884,genbank: JOSR00000000.1,1-250-04_S3_C2,1-250-04_S3_C2,undefined,undefined,Homo sapiens (human),1-250-04_S3_C2,undefined,2009-04-11,Stool,undefined,Tanzania
public_2859778,genbank: JNPX00000000.1,2-210-07_S3_C2,2-210-07_S3_C2,undefined,undefined,Homo sapiens (human),2-210-07_S3_C2,undefined,2009-04-23,Stool,undefined,Tanzania
public_2830694,genbank: JHNI00000000.1,O157:H7 Str. 06-3745,O157:H7 Str. 06-3745,undefined,2a,undefined,06-3745,O157:H7,undefined,undefined,undefined,United States
public_2864838,genbank: JNRC00000000.1,2-460-02_S3_C2,2-460-02_S3_C2,undefined,undefined,Homo sapiens (human),2-460-02_S3_C2,undefined,2009-04-23,Stool,undefined,Tanzania
public_2598366,genbank: AIBP00000000.1,C78_09C,C78_09C,undefined,undefined,Homo sapiens (human),C78_09C,undefined,undefined,Stool,undefined,Belgium
public_2664888,genbank: AMVD00000000.1,EC1866,EC1866,undefined,undefined,Homo sapiens (human),EC1866,O157:H7,2007-01-01,undefined,undefined,United States
public_2705108,genbank: APXK00000000.1,2875150,2875150,undefined,undefined,Homo sapiens (human),2875150,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2681212,genbank: ANTK00000000.1,KTE205,KTE205,undefined,undefined,Homo sapiens (human),KTE205,undefined,2010-01-01,undefined,undefined,undefined
public_2647374,genbank: AMTO00000000.1,10.0821,10.0821,undefined,undefined,Environmental source,10.0821,O157:H7,2010-01-01,Meat-based food,undefined,United States
public_2685223,genbank: ANXH00000000.1,KTE218,KTE218,undefined,undefined,Homo sapiens (human),KTE218,undefined,2010-01-01,undefined,undefined,undefined
public_2739024,genbank: AQEY00000000.1,MP020980.2,MP020980.2,undefined,undefined,Homo sapiens (human),MP020980.2,undefined,undefined,Stool,undefined,Bangladesh
public_2709101,genbank: APXZ00000000.1,P0298942.9,P0298942.9,undefined,undefined,Homo sapiens (human),P0298942.9,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2727328,genbank: AQBT00000000.1,p0305293.10,p0305293.10,undefined,undefined,Homo sapiens (human),p0305293.10,undefined,undefined,Stool,undefined,Bangladesh
public_2602971,genbank: AICD00000000.1,C93_11,C93_11,undefined,undefined,Homo sapiens (human),C93_11,undefined,undefined,Stool,undefined,Denmark
public_2802278,genbank: JHHB00000000.1,O123:H11 Str. 2009C-3307,O123:H11 Str. 2009C-3307,1a,undefined,undefined,2009C-3307,O123:H11,undefined,undefined,undefined,United States
public_2707520,genbank: APXT00000000.1,P0298942.14,P0298942.14,undefined,undefined,Homo sapiens (human),P0298942.14,undefined,2011-03-01,undefined,undefined,Bangladesh
public_2786458,genbank: CP003034.1,O7:K1 Str. CE10,O7:K1 Str. CE10,undefined,undefined,Homo sapiens (human),CE10,O7:NM,undefined,Cerebrospinal fluid,Meningitis,United States
public_2684800,genbank: ANWV00000000.1,KTE175,KTE175,undefined,undefined,Homo sapiens (human),KTE175,undefined,2010-01-01,undefined,undefined,undefined
public_2681677,genbank: ANTU00000000.1,KTE228,KTE228,undefined,undefined,Homo sapiens (human),KTE228,undefined,2010-01-01,undefined,undefined,undefined
public_2858775,genbank: JNPR00000000.1,2-005-03_S3_C3,2-005-03_S3_C3,undefined,undefined,Homo sapiens (human),2-005-03_S3_C3,undefined,2009-04-23,Stool,undefined,Tanzania
public_2754088,genbank: AVSK00000000.1,B86,B86,1a,2a,Homo sapiens (human),B86,O157:H7,2002-01-01,undefined,undefined,"Washington, DC, USA"
public_2755571,genbank: AXOB00000000.1,GSK202U,GSK202U,undefined,undefined,Homo sapiens (human),GSK202U,undefined,2011-01-01,Urine,undefined,Spain
public_2681856,genbank: ANTX00000000.1,KTE234,KTE234,undefined,undefined,Homo sapiens (human),KTE234,undefined,2010-01-01,undefined,undefined,undefined
public_2785813,genbank: CCVR00000000.1,103 Str. E. coli (2785813),103 Str. E. coli (2785813),1a,undefined,Homo sapiens (human),29755,103,2012-02-22,Stool,undefined,Norway
public_2852300,genbank: JNMY00000000.1,4-203-08_S1_C1,4-203-08_S1_C1,undefined,undefined,Homo sapiens (human),4-203-08_S1_C1,undefined,2009-01-19,Stool,undefined,Tanzania
public_2723931,genbank: AQAX00000000.1,P0304816.14,P0304816.14,undefined,undefined,Homo sapiens (human),P0304816.14,undefined,undefined,undefined,undefined,Bangladesh
public_2584981,genbank: AHZD00000000.2,O157:H43 Str. T22,O157:H43 Str. T22,undefined,undefined,Bos taurus (cow),T22,O157:H43,2003-09-01,Milk,Asymptomatic,Hungary
public_2690513,genbank: AOGM00000000.1,O08,O08,undefined,undefined,Gallus gallus (chicken),O08,O38:H10,1994-03-01,Yolk,Omphalitis,Brazil
public_2859355,genbank: JNPU00000000.1,1-392-07_S1_C2,1-392-07_S1_C2,undefined,undefined,Homo sapiens (human),1-392-07_S1_C2,undefined,2009-01-12,Stool,undefined,Tanzania
public_2617189,genbank: AKAX00000000.1,O111:H11 Str. CVM9455,O111:H11 Str. CVM9455,1a,undefined,undefined,CVM9455,O111,undefined,undefined,undefined,undefined
public_2877767,genbank: JORS00000000.1,6-537-08_S4_C1,6-537-08_S4_C1,undefined,undefined,Homo sapiens (human),6-537-08_S4_C1,undefined,2009-07-07,Stool,undefined,Tanzania
public_2785252,genbank: CCRE00000000.1,NA Str. E. coli (2785252),NA Str. E. coli (2785252),1a,undefined,Homo sapiens (human),29755,NA,2011-02-09,Stool,undefined,Norway
public_2839132,genbank: JJLU00000000.1,1-250-04_S3_C1,1-250-04_S3_C1,undefined,undefined,Homo sapiens (human),1-250-04_S3_C1,undefined,2009-04-11,Stool,undefined,Tanzania
public_2705960,genbank: APXM00000000.1,BCE011_MS-01,BCE011_MS-01,undefined,undefined,Homo sapiens (human),BCE011_MS-01,undefined,2002-01-01,Stool,undefined,Bangladesh
public_2739442,genbank: AQFG00000000.1,2719100,2719100,undefined,undefined,Homo sapiens (human),2719100,undefined,2007-01-01,Stool,Diarrhea,Bangladesh
public_2727814,genbank: AQBV00000000.1,p0305293.12,p0305293.12,undefined,undefined,Homo sapiens (human),p0305293.12,undefined,undefined,Stool,undefined,Bangladesh
public_2551126,genbank: ABHT00000000.1,O157:H7 Str. EC4501,O157:H7 Str. EC4501,1a,2a,undefined,EC4501,O157:H7,undefined,undefined,undefined,undefined
public_2828357,genbank: JHMV00000000.1,O121:H19 Str. 2010C-4732,O121:H19 Str. 2010C-4732,undefined,2a,undefined,2010C-4732,O121:H19,undefined,undefined,undefined,United States
public_2700885,genbank: APNV00000000.1,HM69,HM69,undefined,undefined,Homo sapiens (human),HM69,undefined,2012-01-01,Urine,undefined,"Michigan, USA"
public_2725671,genbank: AQBH00000000.1,P0305260.10,P0305260.10,undefined,undefined,Homo sapiens (human),P0305260.10,undefined,undefined,Stool,undefined,Bangladesh
public_2721772,genbank: AQAN00000000.1,P0304777.3,P0304777.3,undefined,undefined,Homo sapiens (human),P0304777.3,undefined,undefined,Stool,undefined,Bangladesh
public_2620960,genbank: AKKX00000000.1,FDA517,FDA517,1a,2c,Homo sapiens (human),FDA517,O157:H7,1983-01-01,undefined,undefined,United States
public_2598966,genbank: AIBR00000000.1,C792_92,C792_92,undefined,undefined,Homo sapiens (human),C792_92,undefined,undefined,Stool,undefined,Italy
public_2701108,genbank: APNX00000000.1,HM65,HM65,undefined,undefined,Homo sapiens (human),HM65,undefined,2012-01-01,Urine,undefined,"Michigan, USA"
public_2730185,genbank: AQCM00000000.1,MP021552.12,MP021552.12,undefined,undefined,Homo sapiens (human),MP021552.12,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2702736,genbank: APXA00000000.1,178900,178900,undefined,undefined,Homo sapiens (human),178900,undefined,undefined,Stool,undefined,Bangladesh
public_2876381,genbank: JORJ00000000.1,6-319-05_S4_C3,6-319-05_S4_C3,undefined,undefined,Homo sapiens (human),6-319-05_S4_C3,undefined,2009-07-07,Stool,undefined,Tanzania
public_2608927,genbank: AIHM00000000.1,DEC14C,DEC14C,undefined,undefined,Homo sapiens (human),DEC14C,O128:H21,1983-01-01,undefined,undefined,Peru
public_2807951,genbank: JHIL00000000.1,O157:H7 Str. K4527,O157:H7 Str. K4527,undefined,undefined,undefined,K4527,O157:H7,undefined,undefined,undefined,United States
public_2827199,genbank: JHMQ00000000.1,O111:NM Str. 2010C-4818,O111:NM Str. 2010C-4818,1a,undefined,undefined,2010C-4818,O111:NM,undefined,undefined,undefined,United States
public_2807227,genbank: JHIF00000000.1,O157:H7 Str. K5453,O157:H7 Str. K5453,undefined,2a,undefined,K5453,O157:H7,undefined,undefined,undefined,United States
public_2579415,genbank: AGTG00000000.1,O157:H- Str. 493-89 (2579415),O157:H- Str. 493-89 (2579415),undefined,2a,Homo sapiens (human),493-89,O157:NM,1989-01-01,patient with hemolytic uremic syndrome (HUS),Hemolytic-uremic syndrome,Germany
public_2687864,genbank: AOEG00000000.1,99.1805,99.1805,undefined,2a,Homo sapiens (human),99.1805,O157:H7,1999-01-01,undefined,undefined,United States
public_2770161,genbank: AZJN00000000.1,HVH 214 (4-3062198),HVH 214 (4-3062198),undefined,undefined,Homo sapiens (human),HVH 214 (4-3062198),undefined,2003-01-01,Blood,Urinary tract infection (cystitis),Denmark
public_2725134,genbank: AQBE00000000.1,P0304816.7,P0304816.7,undefined,undefined,Homo sapiens (human),P0304816.7,undefined,undefined,Stool,undefined,Bangladesh
public_2867164,genbank: JNRM00000000.1,2-474-04_S4_C2,2-474-04_S4_C2,undefined,undefined,Homo sapiens (human),2-474-04_S4_C2,undefined,2009-07-16,Stool,undefined,Tanzania
public_2825598,genbank: JHMI00000000.1,O26:H11 Str. 2010C-5028,O26:H11 Str. 2010C-5028,1a,undefined,undefined,2010C-5028,O26:H11,undefined,undefined,undefined,United States
public_2890553,genbank: JQFF00000000.1,K1 (2890553),K1 (2890553),undefined,undefined,undefined,934,undefined,2007-01-01,Enteral feeding tube,undefined,"Nottingham, Nottingham, UK"
public_2870668,genbank: JOMX00000000.1,2-316-03_S1_C2,2-316-03_S1_C2,undefined,undefined,Homo sapiens (human),2-316-03_S1_C2,undefined,2009-01-23,Stool,undefined,Tanzania
public_2567047,genbank: ADVC00000000.1,O157:H7 Str. EC536,O157:H7 Str. EC536,undefined,2c,Homo sapiens (human),EC536,O157:H7,1986-01-01,undefined,undefined,"Washington, DC, USA"
public_2704849,genbank: APXI00000000.1,2864350,2864350,undefined,undefined,Homo sapiens (human),2864350,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2733610,genbank: AQDF00000000.1,2867750,2867750,undefined,undefined,Homo sapiens (human),2867750,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2795296,genbank: JHFP00000000.1,O145:NM Str. 2010C-3518,O145:NM Str. 2010C-3518,undefined,2a,undefined,2010C-3518,O145:NM,undefined,undefined,undefined,United States
public_2604024,genbank: AIEV00000000.1,DEC1A,DEC1A,undefined,undefined,Homo sapiens (human),DEC1A,O55:H6,1956-01-01,undefined,undefined,"Pennsylvania, USA"
public_2898515,genbank: JRGB00000000.1,77300095,77300095,undefined,undefined,Sus scrofa (pig),77300095,undefined,2003-01-01,undefined,undefined,Denmark
public_2601503,genbank: AIBY00000000.1,C842_97,C842_97,undefined,undefined,Bos taurus (cow),C842_97,undefined,undefined,Stool,undefined,Japan
public_2721556,genbank: AQAM00000000.1,P0304777.2,P0304777.2,undefined,undefined,Homo sapiens (human),P0304777.2,undefined,undefined,Stool,undefined,Bangladesh
public_2729565,genbank: AQCD00000000.1,p0305293.8,p0305293.8,undefined,undefined,Homo sapiens (human),p0305293.8,undefined,undefined,Stool,undefined,Bangladesh
